AccountSourceUniqueId,AccountStatusCode,DateOpened,DateClosed,AccountBalance,OverdraftLimit,ProductSourceTypeCode
Bank-000000001256793,Inactive,2000-12-31,2024-02-07,63356.46,72.92,Current Account
Bank-000000002501565,Inactive,1994-05-04,2023-11-15,59826.49,298.21,Current Account
Bank-000000003009107,Inactive,2017-05-17,2023-11-30,57568.8,252.64,Mortgage
Bank-000000003350093,Inactive,2007-11-18,2024-09-02,90440.92,46.84,Current Account
Bank-000000004454431,Active,2020-10-19,,43224.88,196.75,Savings Account
Bank-000000004693802,Active,2001-04-27,2024-10-25,83273.04,525.87,Credit Card
Bank-000000004718599,Inactive,2003-11-07,2023-03-07,29948.41,117.56,Mortgage
Bank-000000006965207,Inactive,2015-08-10,2023-01-25,91865.3,5.99,Savings Account
Bank-000000007548362,Active,2002-12-20,,95528.71,5.12,Current Account
Bank-000000008955069,Inactive,2013-12-23,2024-03-15,27062.54,751.81,Credit Card
